appearances,inhabitants,name,description,id,Titles
"['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c0', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2b9']",[],Advance Shop,"The Advance Shop, also known as the 100 Rupee Advance Shop, is a recurring location in The Legend of Zelda series. It is a unique store as it can only be accessed when the game is played on a Game Boy Advance. ",5f6e8c8e677b262b8b3fb4a8,"['The Legend of Zelda: Oracle of Seasons', 'The Legend of Zelda: Oracle of Ages']"
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c5'],"['https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d6795', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d644f', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d6214', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d638c', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d661e', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d62e3', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d61a2']",Aboda Village,Aboda Village is a location is Spirit Tracks. It is located by the southwestern shore of the Forest Realm. It is Link's hometown and the starting point of his journey.  ,5f6e8c8e677b262b8b3fb4a9,['The Legend of Zelda: Spirit Tracks']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Ancient Tree Stump,The Ancient Tree Stump is a location in Breath of the Wild. ,5f6e8c8e677b262b8b3fb4ab,['The Legend of Zelda: Breath of the Wild']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2cf'],[],Abandoned Fort,The Abandoned Fort is a Keep in Hyrule Warriors. ,5f6e8c8e677b262b8b3fb4ac,['Hyrule Warriors']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],['https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d63bc'],Abandoned North Mine,The Abandoned North Mine is a location in Breath of the Wild. ,5f6e8c8e677b262b8b3fb4aa,['The Legend of Zelda: Breath of the Wild']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Ancient Shrine,Ancient Shrines are dungeon-like puzzles in Breath of the Wild. ,5f6e8c8e677b262b8b3fb4ae,['The Legend of Zelda: Breath of the Wild']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Daqo Chisay Shrine,"The Daqo Chisay Shrine, designated by the Trial name The Whole Picture, is an Ancient Shrine in Breath of the Wild. ",5f6e8c8e677b262b8b3fb4ad,['The Legend of Zelda: Breath of the Wild']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Ancient Columns,The Ancient Columns are a location in Breath of the Wild. ,5f6e8c8e677b262b8b3fb4af,['The Legend of Zelda: Breath of the Wild']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Darb Pond,Darb Pond is a location in Breath of the Wild. ,5f6e8c8e677b262b8b3fb4b0,['The Legend of Zelda: Breath of the Wild']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Damel Forest,The Damel Forest is a location in Breath of the Wild. ,5f6e8c8e677b262b8b3fb4b4,['The Legend of Zelda: Breath of the Wild']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2b9'],[],Zora Seas,"The Zora Seas constitute a vast sea in the land of Labrynna in Oracle of Ages. As the name suggests, the Zora Seas are home to the Zoras . The Zora Seas are found to the west of the Sea of Storms, from whence the water flows. To the north is the South Shore and the Fairies' Woods. The only noticeable landmark of the Zora Seas is the Eyeglass Island Library. ",5f6e8c8e677b262b8b3fb4b9,['The Legend of Zelda: Oracle of Ages']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c6'],[],Hyrule Underground,The Hyrule Underground is a location in The Minish Cap. ,5f6e8c8e677b262b8b3fb4be,['The Legend of Zelda: The Minish Cap']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Dalite Forest,Dalite Forestis a location in Breath of the Wild. ,5f6e8c8e677b262b8b3fb4b5,['The Legend of Zelda: Breath of the Wild']
[],[],Page 12,Page 12 is a location in Ripened Tingle's Balloon Trip of Love. ,5f6e8c8e677b262b8b3fb4c3,[]
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c8'],[],Ancient Harbor,"The Ancient Harbor is a location in Skyward Sword. It is an ancient port which linked the land of Lanayru Desert to the ancient ocean, now known as the Lanayru Sand Sea. ",5f6e8c8e677b262b8b3fb4b1,['The Legend of Zelda: Skyward Sword']
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Daqa Koh Shrine,"The Daqa Koh Shrine, designated by the Trial name Stalled Flight, is an Ancient Shrine in Breath of the Wild. ",5f6e8c8e677b262b8b3fb4b2,['The Legend of Zelda: Breath of the Wild']
"['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2b7', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2bd', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2b8', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2ba', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2bc', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2bf', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c4', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c1', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c6', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2be', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c5', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c8', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c7', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9']",[],Hyrule,"The Kingdom of Hyrule, also simply known as Hyrule, the Land of the Gods, the Lesser Kingdom of Hyrule, the Surface, and Hyrule Kingdom, is the name of the kingdom that serves as the iconic setting for a majority of the games in the Zelda series. It is usually depicted as a beautiful and prosperous land blessed with deep forests, tall mountains, vast lakes, a barren desert, great cities, villages, and many ancient temples hidden throughout. ",5f6e8c8e677b262b8b3fb4b8,"['The Legend of Zelda', 'Zelda II: The Adventure of Link', 'The Legend of Zelda: A Link to the Past', 'The Legend of Zelda: Ocarina of Time', ""The Legend of Zelda: Majora's Mask"", 'The Legend of Zelda: The Wind Waker', 'The Legend of Zelda: Four Swords', 'The Legend of Zelda: Four Swords Adventures', 'The Legend of Zelda: The Minish Cap', 'The Legend of Zelda: Twilight Princess', 'The Legend of Zelda: Spirit Tracks', 'The Legend of Zelda: Skyward Sword', 'The Legend of Zelda: A Link Between Worlds', 'The Legend of Zelda: Breath of the Wild']"
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Pondo,Pondo is a character in Breath of the Wild.  ,5f6e8c8e677b262b8b3fb4c8,['The Legend of Zelda: Breath of the Wild']
"['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2ba', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2be', 'https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9']","['https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d675b', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d6639', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d6437', 'https://zelda.fanapis.com/api/characters/5f6d186f246bd9a0809d62b7']",Zora River,"Zora River, also known as Zora's River, is a recurring location in the The Legend of Zelda series. It is one of the main bodies of water in Hyrule, with its water source being either Zora's Domain or Zora's Fountain. ",5f6e8c8e677b262b8b3fb4b7,"['The Legend of Zelda: Ocarina of Time', 'The Legend of Zelda: Twilight Princess', 'The Legend of Zelda: Breath of the Wild']"
['https://zelda.fanapis.com/api/games/5f6ce9d805615a85623ec2c9'],[],Dako Tah Shrine,"The Dako Tah Shrine, designated by the Trial name Electric Path, is an Ancient Shrine in Breath of the Wild. ",5f6e8c8e677b262b8b3fb4b6,['The Legend of Zelda: Breath of the Wild']
